"drug","gene"
"DB06589","FLT1"
"DB00398","FLT1"
"DB04716","FLT1"
"DB07664","FLT1"
"DB05424","FLT1"
"DB00157","DHCR7"
"DB00997","DHCR7"
"DB00675","DHCR7"
"DB00162","DHRS4"
"DB07460","INSR"
"DB03909","INSR"
"DB01309","INSR"
"DB00071","INSR"
"DB02733","INSR"
"DB08513","INSR"
"DB01306","INSR"
"DB01268","INSR"
"DB08846","INSR"
"DB04751","INSR"
"DB00398","INSR"
"DB01277","INSR"
"DB08865","INSR"
"DB02375","INSR"
"DB00030","INSR"
"DB00047","INSR"
"DB00046","INSR"
"DB01307","INSR"
"DB07159","INSR"
"DB00138","CTNS"
"DB06938","RAF1"
"DB08881","RAF1"
"DB02567","RAF1"
"DB04868","RAF1"
"DB01254","RAF1"
"DB07159","RAF1"
"DB00398","RAF1"
"DB06999","RAF1"
"DB00157","NDUFS8"
"DB00120","FARSA"
"DB07817","FARSA"
"DB00055","F5"
"DB04558","F5"
"DB03431","PDXK"
"DB04776","PDXK"
"DB03909","PDXK"
"DB04770","PDXK"
"DB00165","PDXK"
"DB00147","PDXK"
"DB08932","EDNRB"
"DB00559","EDNRB"
"DB04883","EDNRB"
"DB06268","EDNRB"
"DB00157","NSDHL"
"DB00246","CHRM3"
"DB00622","CHRM3"
"DB01238","CHRM3"
"DB01454","CHRM3"
"DB00376","CHRM3"
"DB06731","CHRM3"
"DB00202","CHRM3"
"DB01224","CHRM3"
"DB00434","CHRM3"
"DB00767","CHRM3"
"DB00517","CHRM3"
"DB00342","CHRM3"
"DB00334","CHRM3"
"DB00363","CHRM3"
"DB01036","CHRM3"
"DB00193","CHRM3"
"DB00424","CHRM3"
"DB01142","CHRM3"
"DB00831","CHRM3"
"DB00321","CHRM3"
"DB00280","CHRM3"
"DB01226","CHRM3"
"DB00340","CHRM3"
"DB00540","CHRM3"
"DB00472","CHRM3"
"DB00572","CHRM3"
"DB01062","CHRM3"
"DB01071","CHRM3"
"DB00725","CHRM3"
"DB01151","CHRM3"
"DB06709","CHRM3"
"DB00729","CHRM3"
"DB00185","CHRM3"
"DB01231","CHRM3"
"DB00496","CHRM3"
"DB00505","CHRM3"
"DB00785","CHRM3"
"DB00777","CHRM3"
"DB06144","CHRM3"
"DB00408","CHRM3"
"DB01625","CHRM3"
"DB01069","CHRM3"
"DB01075","CHRM3"
"DB06702","CHRM3"
"DB04843","CHRM3"
"DB00679","CHRM3"
"DB00420","CHRM3"
"DB01173","CHRM3"
"DB01239","CHRM3"
"DB00332","CHRM3"
"DB01337","CHRM3"
"DB00850","CHRM3"
"DB00411","CHRM3"
"DB01409","CHRM3"
